file,TP,FP,FN,Precision,Recall,F1
LIPITOR.359,5,1,0,0.833,1.0,0.909
LIPITOR.36,0,0,0,0.0,0.0,0.0
LIPITOR.360,1,0,0,1.0,1.0,1.0
LIPITOR.361,0,1,0,0.0,0.0,0.0
LIPITOR.362,2,0,0,1.0,1.0,1.0
LIPITOR.363,3,0,0,1.0,1.0,1.0
LIPITOR.364,0,0,0,0.0,0.0,0.0
LIPITOR.365,0,2,0,0.0,0.0,0.0
LIPITOR.366,2,0,0,1.0,1.0,1.0
LIPITOR.367,0,0,0,0.0,0.0,0.0
LIPITOR.368,1,0,0,1.0,1.0,1.0
LIPITOR.369,0,0,0,0.0,0.0,0.0
LIPITOR.37,1,1,1,0.5,0.5,0.5
LIPITOR.370,0,0,0,0.0,0.0,0.0
LIPITOR.371,0,0,0,0.0,0.0,0.0
LIPITOR.372,0,0,0,0.0,0.0,0.0
LIPITOR.373,2,1,0,0.667,1.0,0.8
LIPITOR.374,1,0,0,1.0,1.0,1.0
LIPITOR.375,0,0,0,0.0,0.0,0.0
LIPITOR.376,2,0,0,1.0,1.0,1.0
LIPITOR.377,3,0,0,1.0,1.0,1.0
LIPITOR.378,0,0,0,0.0,0.0,0.0
LIPITOR.379,0,0,0,0.0,0.0,0.0
LIPITOR.38,2,0,0,1.0,1.0,1.0
LIPITOR.380,0,0,0,0.0,0.0,0.0
LIPITOR.381,2,0,0,1.0,1.0,1.0
LIPITOR.382,2,1,0,0.667,1.0,0.8
LIPITOR.383,0,0,0,0.0,0.0,0.0
LIPITOR.384,2,1,0,0.667,1.0,0.8
LIPITOR.385,4,1,0,0.8,1.0,0.889
LIPITOR.386,0,0,0,0.0,0.0,0.0
LIPITOR.387,0,0,0,0.0,0.0,0.0
LIPITOR.388,1,1,0,0.5,1.0,0.667
LIPITOR.389,3,0,0,1.0,1.0,1.0
LIPITOR.39,3,0,0,1.0,1.0,1.0
LIPITOR.390,0,0,0,0.0,0.0,0.0
LIPITOR.391,0,0,0,0.0,0.0,0.0
LIPITOR.392,1,0,0,1.0,1.0,1.0
LIPITOR.393,2,1,1,0.667,0.667,0.667
LIPITOR.394,0,0,0,0.0,0.0,0.0
LIPITOR.395,2,0,0,1.0,1.0,1.0
